DATE,UITITI
1992-01-01,39911
1992-02-01,40216
1992-03-01,39647
1992-04-01,40099
1992-05-01,40457
1992-06-01,39263
1992-07-01,39967
1992-08-01,40771
1992-09-01,40453
1992-10-01,40372
1992-11-01,40307
1992-12-01,38653
1993-01-01,38905
1993-02-01,39607
1993-03-01,38676
1993-04-01,39400
1993-05-01,40085
1993-06-01,39101
1993-07-01,39829
1993-08-01,40068
1993-09-01,39334
1993-10-01,39774
1993-11-01,39499
1993-12-01,37603
1994-01-01,38632
1994-02-01,39690
1994-03-01,39362
1994-04-01,40398
1994-05-01,41151
1994-06-01,40642
1994-07-01,41558
1994-08-01,42381
1994-09-01,40850
1994-10-01,41449
1994-11-01,41607
1994-12-01,39859
1995-01-01,41540
1995-02-01,42768
1995-03-01,41403
1995-04-01,42809
1995-05-01,43719
1995-06-01,43145
1995-07-01,44494
1995-08-01,45455
1995-09-01,44954
1995-10-01,46489
1995-11-01,46806
1995-12-01,44909
1996-01-01,46561
1996-02-01,47052
1996-03-01,45344
1996-04-01,46961
1996-05-01,47253
1996-06-01,45300
1996-07-01,46449
1996-08-01,46717
1996-09-01,44871
1996-10-01,45082
1996-11-01,44699
1996-12-01,41784
1997-01-01,43586
1997-02-01,44833
1997-03-01,43772
1997-04-01,45713
1997-05-01,47222
1997-06-01,46315
1997-07-01,48524
1997-08-01,49263
1997-09-01,47624
1997-10-01,47935
1997-11-01,48572
1997-12-01,46117
1998-01-01,47466
1998-02-01,48537
1998-03-01,47037
1998-04-01,48387
1998-05-01,49023
1998-06-01,47149
1998-07-01,47806
1998-08-01,47970
1998-09-01,46096
1998-10-01,46496
1998-11-01,46405
1998-12-01,43592
1999-01-01,44033
1999-02-01,45416
1999-03-01,45422
1999-04-01,46495
1999-05-01,47063
1999-06-01,45743
1999-07-01,46573
1999-08-01,47203
1999-09-01,45822
1999-10-01,45456
1999-11-01,46277
1999-12-01,44375
2000-01-01,44992
2000-02-01,46534
2000-03-01,45269
2000-04-01,47088
2000-05-01,48880
2000-06-01,48095
2000-07-01,49847
2000-08-01,51700
2000-09-01,49112
2000-10-01,50903
2000-11-01,52871
2000-12-01,50795
2001-01-01,53071
2001-02-01,54366
2001-03-01,51092
2001-04-01,51884
2001-05-01,52193
2001-06-01,50039
2001-07-01,49867
2001-08-01,49927
2001-09-01,46282
2001-10-01,46138
2001-11-01,46061
2001-12-01,41443
2002-01-01,42731
2002-02-01,42846
2002-03-01,40773
2002-04-01,41814
2002-05-01,41908
2002-06-01,40224
2002-07-01,41150
2002-08-01,41526
2002-09-01,39444
2002-10-01,39735
2002-11-01,40138
2002-12-01,37700
2003-01-01,38180
2003-02-01,38460
2003-03-01,36865
2003-04-01,37303
2003-05-01,37328
2003-06-01,35584
2003-07-01,35967
2003-08-01,36091
2003-09-01,35169
2003-10-01,35695
2003-11-01,35930
2003-12-01,34097
2004-01-01,33947
2004-02-01,33986
2004-03-01,32658
2004-04-01,33493
2004-05-01,33866
2004-06-01,33088
2004-07-01,33634
2004-08-01,34123
2004-09-01,33266
2004-10-01,33784
2004-11-01,33912
2004-12-01,32109
2005-01-01,33714
2005-02-01,34612
2005-03-01,33757
2005-04-01,34893
2005-05-01,36025
2005-06-01,34884
2005-07-01,36502
2005-08-01,37591
2005-09-01,37029
2005-10-01,38169
2005-11-01,39849
2005-12-01,38094
2006-01-01,39610
2006-02-01,40250
2006-03-01,38872
2006-04-01,39942
2006-05-01,40092
2006-06-01,38488
2006-07-01,39828
2006-08-01,40911
2006-09-01,39959
2006-10-01,40735
2006-11-01,41359
2006-12-01,38821
2007-01-01,40563.0
2007-02-01,40807.0
2007-03-01,39097.0
2007-04-01,39468.0
2007-05-01,40228
2007-06-01,38582.0
2007-07-01,38291.0
2007-08-01,39002.0
2007-09-01,38700.0
2007-10-01,39450.0
2007-11-01,39940
2007-12-01,37702
2008-01-01,38612.0
2008-02-01,39054.0
2008-03-01,38337.0
2008-04-01,39144.0
2008-05-01,39268.0
2008-06-01,37823.0
2008-07-01,38524.0
2008-08-01,39158.0
2008-09-01,38101.0
2008-10-01,38377.0
2008-11-01,38373.0
2008-12-01,37107
2009-01-01,37563
2009-02-01,38008.0
2009-03-01,36527.0
2009-04-01,37460.0
2009-05-01,37666
2009-06-01,35670
2009-07-01,36179.0
2009-08-01,36661.0
2009-09-01,36012
2009-10-01,36512.0
2009-11-01,36942.0
2009-12-01,35605
2010-01-01,36628.0
2010-02-01,37344.0
2010-03-01,35732.0
2010-04-01,36301.0
2010-05-01,36832
2010-06-01,36698.0
2010-07-01,37218.0
2010-08-01,37817
2010-09-01,36813.0
2010-10-01,37743.0
2010-11-01,38107.0
2010-12-01,36344
2011-01-01,37505
2011-02-01,38453.0
2011-03-01,38287.0
2011-04-01,39306
2011-05-01,40131.0
2011-06-01,39452
2011-07-01,40412.0
2011-08-01,41077
2011-09-01,39907.0
2011-10-01,40551
2011-11-01,40813
2011-12-01,38189
2012-01-01,39668
2012-02-01,40195
2012-03-01,39418
2012-04-01,40076
2012-05-01,40189
2012-06-01,38678
2012-07-01,39568
2012-08-01,39935.0
2012-09-01,38900
2012-10-01,39733.0
2012-11-01,40084
2012-12-01,37869
2013-01-01,39710
2013-02-01,40005
2013-03-01,38515
2013-04-01,38982
2013-05-01,39550
2013-06-01,38883
2013-07-01,39479
2013-08-01,39198
2013-09-01,38074
2013-10-01,38379
2013-11-01,38638
2013-12-01,36886
2014-01-01,37778
2014-02-01,38220
2014-03-01,37113
2014-04-01,37636
2014-05-01,38157
2014-06-01,36880
2014-07-01,38005
2014-08-01,38436
2014-09-01,36993
2014-10-01,37455
2014-11-01,37681
2014-12-01,35692
2015-01-01,36982
2015-02-01,37869
2015-03-01,36965
2015-04-01,38031
2015-05-01,38628
2015-06-01,38037
2015-07-01,38781
2015-08-01,38943
2015-09-01,37387
2015-10-01,37954
2015-11-01,38200
2015-12-01,36244
2016-01-01,36937
2016-02-01,37331
2016-03-01,36470
2016-04-01,37082
2016-05-01,37611
2016-06-01,36608
2016-07-01,37553
2016-08-01,37761
2016-09-01,36578
2016-10-01,36942
2016-11-01,37155
2016-12-01,35417
2017-01-01,36431
2017-02-01,36980
2017-03-01,36362
2017-04-01,36760
2017-05-01,37260
2017-06-01,36565
2017-07-01,37233
2017-08-01,37537
2017-09-01,36231
2017-10-01,36900
2017-11-01,36865
2017-12-01,35415
2018-01-01,36315
2018-02-01,37121
2018-03-01,36381
2018-04-01,37038
2018-05-01,37845
2018-06-01,37215
2018-07-01,37763
2018-08-01,38167
2018-09-01,37617
2018-10-01,38194
2018-11-01,38365
2018-12-01,37040
2019-01-01,38145
2019-02-01,38873
2019-03-01,38501
2019-04-01,38968
2019-05-01,39490
2019-06-01,38956
2019-07-01,39546
2019-08-01,39863
2019-09-01,39206
2019-10-01,39573
2019-11-01,39570
2019-12-01,38255
2020-01-01,38913
2020-02-01,39199
2020-03-01,38826
2020-04-01,39430
2020-05-01,39923
2020-06-01,39375
2020-07-01,39614
2020-08-01,39684
2020-09-01,38836
2020-10-01,39035
2020-11-01,38951
2020-12-01,37459
2021-01-01,38580
2021-02-01,39140
2021-03-01,38934
2021-04-01,39751
2021-05-01,40479
2021-06-01,40322
2021-07-01,41044
2021-08-01,41563
2021-09-01,41456
2021-10-01,42174
2021-11-01,42800
2021-12-01,41776
2022-01-01,42949
2022-02-01,43533
2022-03-01,43568
2022-04-01,44399
2022-05-01,44999
2022-06-01,44810
2022-07-01,45497
2022-08-01,46057
2022-09-01,45487
2022-10-01,45769
2022-11-01,46089
2022-12-01,44583
2023-01-01,45535
2023-02-01,45995
2023-03-01,45771
2023-04-01,46497
2023-05-01,46826.0
2023-06-01,45897.0
2023-07-01,46267.0
2023-08-01,46610.0
2023-09-01,45825.0
2023-10-01,46026.0
2023-11-01,46257.0
2023-12-01,44763.0
2024-01-01,45611.0
